index	char	source	confidence	uses	alts
0	新	ruby	high	114	
1	情	ruby	high	213	
2	椋	ruby	medium	218	報
3	為	ruby	medium	241	入敗
4	手	ruby	high	321	
5	嵬	bitmap	low	1	豢嵬東峯家
6	京	bitmap	low	1	京亰崑炊廩
7	年	ruby	high	110	
8	発	ruby	high	103	
9	売	ruby	medium	9	
10	予	context	medium	21	予矛下テチ
11	定	ruby	medium	125	
12	無	ruby	medium	248	
13	罪	ruby	high	83	
14	勝	context	medium	30	勝胼梼腓絣
15	蠧	ruby	high	194	
16	次	context	medium	41	犬大次実火
17	第	context	medium	18	第骼萠簓撤
18	午	context	medium	16	午乍千于竿
19	氣	okurigana	medium	528	■陂曲崗毆
20	後	ruby	high	144	
21	白	ruby	medium	539	
22	側	ruby	medium	567	川
23	家	ruby	medium	102	置
24	水	ruby	medium	359	
25	谷	ruby	medium	189	
26	探	ruby	high	107	
27	偵	ruby	high	80	
28	事	ruby	high	913	
29	務	ruby	medium	133	
30	所	ruby	high	281	
31	高	context	medium	107	高姦龕窩轟
32	校	context	medium	62	佼皎按撹授
33	哉	ruby	high	209	
34	害	ruby	high	250	
35	現	ruby	medium	113	
36	場	ruby	medium	189	塲
37	教	context	medium	150	班甜鏃辧皺
38	授	context	medium	153	崎畸峙嶢畤
39	法	ruby	high	2353	
40	律	context	medium	13	律絛脩修倖
41	自	ruby	medium	274	斧
42	宅	context	medium	13	宅毟宝疱庖
43	註	context	medium	10	貧銓昔嘗跿
44	都	context	medium	25	都鄒館飾鄰
45	病	ruby	medium	85	
46	院	context	medium	74	院皖陝皎時
47	表	context	medium	69	表衣衰衷喪
48	札	context	medium	3	札扎軋糺牝
49	門	context	medium	10	門円閂鬥汽
50	被	ruby	medium	255	蕪
51	疑	ruby	high	128	
52	者	ruby	high	451	
53	人	ruby	high	970	
54	黄	context	medium	19	梼畴棒髀鴨
55	味	ruby	high	79	
56	別	ruby	high	60	
57	一	ruby	high	524	
58	意	ruby	medium	700	言
59	考	ruby	medium	187	
60	族	context	medium	25	族篏腋艘鰒
61	構	context	medium	36	擣構擠橇横
62	成	context	medium	29	成戚威戌咸
63	最	context	medium	109	■畠贔畿曼
64	近	ruby	high	335	
65	変	context	medium	91	変麦寉党夐
66	子	ruby	high	2485	
67	太	ruby	medium	125	立
