offset	lines	text
0x0002ac87	1	新たな情報を入手
0x0002b065	2	東京ゲームショウバージョンはここまでです。\n
0x0002b082	2	２００９年発売予定！\n
0x0002b098	1	無罪を勝ち取れるかはあなた次第．．．．
0x0002c058	1	［午前］
0x0002c065	1	［午後］
0x0002e706	1	白川家
0x0002e711	1	白川ビル
0x0002e71d	1	水谷探偵事務所（高校）
0x0002e738	1	殺害現場
0x0002e745	1	沼崎法律事務所
0x0002e761	1	首都タクシーセンター
0x0002e77b	1	ゲームセンター
0x0002e788	1	白川家
0x0002e791	1	白川ビル
0x0002e79b	1	水谷探偵事務所（高校）
0x0002e7b4	1	殺害現場
0x0002e7bf	1	沼崎法律事務所
0x0002e7d7	1	首都タクシーセンター
0x0002e7ed	1	ゲームセンター
0x00037dc4	7	　\n　\nこれで前半は終了です。\nここからは、源の後半部分です。\n　\n　\n　
0x000388c4	1	［被疑者がどんな人なのか黄味あった］
0x000388e3	1	［被疑者に別の一言を言いたかった］
0x00038902	1	［なにも考えてなかった］
0x00038916	1	［白川家の家族構成］
0x0003892e	1	［最近変わったこと］
0x00038b7a	2	【法子】\n（ここが被害者《ひがいしゃ》の自宅ね）
0x00038bdf	3	【法子】\n（……それにしても、立派な家ね。\nさすがに貫禄《かんろく》があるわ）
0x00038c51	3	【法子】\n（白川家に着いたわ。\nどうしようかしら？）
0x00038d70	2	【法子】\n（立派な表札が掛《か》かってるわ）
0x00038dba	3	【法子】\n（名のある表札屋さんに\n頼《たの》んだんでしょうね……）
0x00038e16	2	【法子】\n（立派な表札が掛《か》かってるわ）
0x00038e99	4	【法子】\n（大きな門ね……\n門だけでこれだけ大きいんだから、\n家自体も相当大きいんだろうな……）
0x00038f06	4	【法子】\n（よくよく見ると、\n周りの家の門も立派なものが多いわ。\nみんなお金持ちなんだろうな……）
0x00038f77	3	【法子】\n（圧倒《あっとう》されそうなくらい、\n立派な門ね……）
0x00038ff3	2	【ドアフォン】\n……はい。
0x0003902e	3	【法子】\n私、弁護士をしております\n新城法子と申します。
