offset	lines	text
0x0002ac87	1	새로운 정보를 입수
0x0002b065	2	도쿄 게임쇼 버전은\n여기까지입니다。
0x0002b082	2	2009년 발매 예정!\n
0x0002b098	2	무죄를 쟁취할 수 있을지는\n당신에게 달렸습니다....
0x0002c058	1	［오전］
0x0002c065	1	［오후］
0x0002e706	1	시라카와 저택
0x0002e711	1	시라카와 빌딩
0x0002e71d	1	미즈타니 탐정사무소(고교)
0x0002e738	1	피해 현장
0x0002e745	1	누마사키 법률사무소
0x0002e761	1	신토 택시 센터
0x0002e77b	1	게임 센터
0x0002e788	1	시라카와 저택
0x0002e791	1	시라카와 빌딩
0x0002e79b	1	미즈타니 탐정사무소(고교)
0x0002e7b4	1	피해 현장
0x0002e7bf	1	누마사키 법률사무소
0x0002e7d7	1	신토 택시 센터
0x0002e7ed	1	게임 센터
0x00037dc4	7	　\n　\n전반부는 여기까지입니다.\n이제부터는 이야기의 후반부입니다.\n　\n　\n　
0x000388c4	1	［피의자가 어떤 사람인지 궁금했다］
0x000388e3	2	［피의자에게 다른 말을 하고\n싶었다］
0x00038902	1	［아무 생각도 하지 않았다］
0x00038916	1	［시라카와 가문의 가족 구성］
0x0003892e	1	［최근 달라진 점］
0x00038b7a	2	【노리코】\n(여기가 피해자의 집이네)
0x00038bdf	4	【노리코】\n(……그렇다 해도 정말 으리으리한\n집이네.\n역시 위엄이 느껴져)
0x00038c51	3	【노리코】\n(시라카와 저택에 도착했네.\n어떻게 할까?)
0x00038d70	2	【노리코】\n(훌륭한 문패가 걸려 있네)
0x00038dba	3	【노리코】\n(이름난 문패 가게에\n주문했겠지……)
0x00038e16	2	【노리코】\n(훌륭한 문패가 걸려 있네)
0x00038e99	4	【노리코】\n(문이 크네……\n문만 이렇게 큰 걸 보면,\n집 자체도 상당히 크겠지……)
0x00038f06	4	【노리코】\n(자세히 보니,\n주변 집 문도 멋진 게 많네.\n다들 부자인가 봐……)
0x00038f77	3	【노리코】\n(압도될 정도로,\n훌륭한 문이네……)
0x00038ff3	2	【도어폰】\n……네.
0x0003902e	3	【노리코】\n저는 변호사인\n신조 노리코라고 합니다.
0x00039081	3	【노리코】\n무례한 부탁이라 죄송하지만,\n잠시 이야기를 나눌 수 있을까요?
0x000390f0	3	【도어폰】\n……\n잠시만 기다려 주세요.
0x00039136	2	【노리코】\n네.
0x000391c6	2	【여성】\n……변호사님인가요?
0x0003920a	5	【노리코】\n네.\n이번 사건 피의자인\n사이토 코우지의 담당\n변호사입니다.
0x00039279	4	【노리코】\n코우지는 무죄를 주장하고 있고,\n저 역시 코우지가 무죄라고\n생각합니다.
0x000392e5	2	【여성】\n……정말 그 사람은 무죄인가요?
0x0003932c	3	【노리코】\n물론 객관적인 증거는\n아직 아무것도 나오지 않았습니다.
0x00039387	6	【노리코】\n하지만 코우지가 무죄라면,\n진범은 아직도 도망치고 있을\n겁니다.\n그런 일은 절대로 용서할 수\n없습니다.
0x000393f8	5	【노리코】\n제가 알고 싶은 건 사건의\n진상입니다.\n그러기 위해 시라카와 씨에게도\n협조해 주셨으면 합니다만……
0x00039468	2	【여성】\n…………
0x000394ae	4	【여성】\n저는 이 집에서 도우미로 일하는\n토죠라고 합니다.\n부인께서는 지금 외출 중이신데……
0x00039527	2	【노리코】\n그랬군요……
0x00039562	4	【노리코】\n그럼 토죠 씨,\n이야기를 여쭤보고 싶은데,\n괜찮으실까요?
0x000395cc	2	【가사도우미】\n제가요?
0x00039609	4	【노리코】\n네.\n대답할 수 있는 범위에서만\n괜찮습니다……
0x0003966c	3	【가사도우미】\n……알겠습니다.\n무엇부터 말씀드리면 될까요?
0x000396ed	2	【도어폰】\n……네.
0x00039728	3	【노리코】\n저는 변호사인\n신조 노리코입니다.
0x00039777	3	【노리코】\n노조미 씨에게 여쭤볼 것이 있는데,\n집에 계신가요?
0x000397d3	2	【도어폰】\n…………
0x0003980e	2	【도어폰】\n잠시만 기다려 주세요……
0x000398e5	3	【노조미】\n기다리게 했네요.\n무슨 일이죠?
0x0003992a	3	【노리코】\n이번에는 사진을 주셔서\n감사합니다.
0x0003999a	2	【노조미】\n아니에요……
0x000399d0	3	【노리코】\n지난번에 피의자 사이토 씨를\n접견하셨죠?
0x00039a4e	3	【노조미】\n……네.\n덕분에 만날 수 있었습니다……
0x00039a9e	5	【노리코】\n저기……\n'덕분에'라는 말은 빼 주세요.\n여러 가지로 문제가 될 수\n있으니까……
0x00039b11	4	【노조미】\n아…… 그렇네요……\n제가 멋대로 만나러 간\n것이니까요……
0x00039b6a	4	【노리코】\n그런데 말이죠……\n코우지가 마음에 걸리는\n모양이에요.
0x00039bbd	3	【노리코】\n……헤어질 때 중얼거리던\n한마디가.
0x00039c04	2	【노조미】\n…………
0x00039c3c	2	【노리코】\n뭔가 눈치채신 점이 있나요?
0x00039ca6	2	【노조미】\n……모르겠어요.
0x00039ce2	4	【노리코】\n그럼 질문 방법을 바꿔볼게요.\n노조미 씨는 코우지가 범인이라고\n생각하나요?
0x00039d69	2	【노조미】\n어……?
0x00039da1	4	【노리코】\n코우지는 말했어요.\n헤어질 때 『살인자』라는 말을\n들었다고요.
0x00039e12	2	【노조미】\n…………
0x00039e4a	2	【노리코】\n하지만, 그게 진심인가요?
0x00039e9b	2	【노조미】\n무슨 뜻……인가요……?
0x00039ee0	4	【노리코】\n피해자 가족과의 접촉은 금지되어\n있습니다.\n지난번에 말씀드린 대로예요.
0x00039f4b	4	【노리코】\n그런데도 변장까지 해서 찾아가고,\n그렇게까지 말했다는 게 마음에\n걸려서……
0x00039fab	2	【노조미】\n…………
0x0003a027	2	【노리코】\n사실은……
0x0003a092	3	【노리코】\n피의자가 어떤 사람이었는지\n관심이 있었다거나?
0x0003a10f	2	【노조미】\n아……
0x0003a145	2	【노리코】\n(반응이 있었어!)
0x0003a185	2	【노리코】\n역시 그랬군요.
0x0003a1db	3	【노리코】\n사실은 다른 말을 하고 싶었던 거\n아닌가요……?
0x0003a22d	2	【노조미】\n…………
0x0003a265	3	【노리코】\n(반응 없음……\n이건 아닌 모양이네)
0x0003a2cf	3	【노리코】\n사실은…… 아무 생각도 하지\n않았나요?
0x0003a316	2	【노조미】\n…………
0x0003a34e	3	【노리코】\n(반응 없음……\n이건 아닌 모양이네)
0x0003a3a2	3	【노리코】\n그럼 코우지를 보고\n뭔가 생각나는 게 있었나요?
0x0003a40d	2	【노조미】\n…………
0x0003a445	2	【노리코】\n(역시 말해 주지 않네……)
0x0003a48d	4	【노리코】\n……알겠습니다.\n말하기 어려우시다면 더는 묻지\n않을게요.
0x0003a4f5	2	【노조미】\n……죄송해요.
0x0003a53d	3	【노조미】\n잘…… 모르겠어요……\n저 자신도……
0x0003a58b	3	【노리코】\n저야말로,\n배려가 부족했습니다.
0x0003a5db	3	【노리코】\n그렇겠죠……\n노조미 씨도 피해자니까요……
0x0003a636	2	【노조미】\n…………
0x0003a66e	3	【노리코】\n하지만 믿어줘요.\n코우지는 범인이 아니에요!
0x0003a6ba	3	【노리코】\n코우지의 변호사라는 입장을\n떠나서, 저는 그렇게 생각해요.
0x0003a717	2	【노조미】\n…………
0x0003a74f	3	【노리코】\n뭔가 눈치챈 점이 있다면,\n알려주시면 감사하겠습니다.
0x0003a7a5	4	【노리코】\n저에게 말하기 어렵다면,\n코우지에게 직접 말해 주셔도\n괜찮습니다.
0x0003a7fd	3	【노리코】\n코우지도 저도 진범을 반드시 잡을\n생각이니까요……
0x0003a85a	2	【노조미】\n…………
0x0003a8ec	3	【노리코】\n(도우미가 있다니,\n역시 시라카와 가문이네……?)
0x0003aa14	3	【노리코】\n시라카와 가문의 가족 구성에 대해\n알려주실 수 있나요?
0x0003aa70	2	【가사도우미】\n가족 구성 말인가요……
0x0003aabe	3	【가사도우미】\n먼저 남편분이 계셨습니다만……\n당신도 아시다시피…… 말이죠.
0x0003ab22	2	【노리코】\n네.
0x0003ab64	4	【가사도우미】\n남편분은 이미 돌아가셨으니,\n현재 시라카와 가문의 가장은\n부인입니다.
0x0003abe1	3	【노리코】\n부인 성함을\n여쭤봐도 될까요?
0x0003ac46	5	【가사도우미】\n미사에 님입니다.\n아름다울 미, 사람 인 변에 왼쪽\n좌, 은혜 혜로 써서\n미사에 님입니다.
0x0003acbe	2	【노리코】\n미사에 씨……군요.
0x0003ad0d	4	【가사도우미】\n네.\n그리고 따님이 노조미 님입니다.\n히라가나로 노조미라고 씁니다.
0x0003ad79	2	【노리코】\n노조미 씨……군요.
0x0003adc5	3	【가사도우미】\n네……\n현재는 두 분이 살고 계십니다.
0x0003ae12	3	【노리코】\n그렇군요.\n감사합니다.
0x0003af17	3	【노리코】\n최근 달라진 점은\n없었나요?
0x0003af6d	2	【가사도우미】\n달라진 일이라니요?
0x0003afad	4	【노리코】\n네.\n예를 들면, 남편분이 늦게 귀가하게\n됐다거나……
0x0003b013	6	【가사도우미】\n그렇다면 반대입니다.\n예전과 비교하면, 최근……이라고\n해도\n지난 몇 년 사이지만, 일찍\n귀가하게 됐습니다.
